rarity,name,description,cat_id
Uber Super Rare,EVA Unit-02,"Long-range attack character, can't strike nearby enemies. Delivers massive damage to Red enemies (Area Attack)",414
Uber Super Rare,Moon Operators,Combines heavy firepower with superior range! 100% chance to slow Red and Zombie enemies. Stops Zombies from reviving upon death. (Area Attacks),416
Uber Super Rare,EVA Unit-08,"Might knockback, stop, and weaken Floating enemies! Long-range specialist, can't strike nearby threats.",487
Uber Super Rare,AAA Wunder,"High-powered, high-speed attacker! Massive Area damage vs. Angels and Zombies. Stops Zombies from reviving upon death. (Area Attacks)",488
Uber Super Rare,The 4th Angel,"Combines rapid strikes with wide attack area. Delivers massive damage with Knockback vs Black enemies, with chance of Mini-Wave.",548
Uber Super Rare,The 9th Angel,"Long-range Area specialist delivering massive damage attacks vs Aliens that also Weaken! Plus, 100% chance of Surge Attack.",551
Uber Super Rare,One-Eyed Asuka,Long-range Area attack specialist whose strike 100% Curse and fire Surge Attacks. Increased attack damage against Colossal enemies while taking less damage from them as well. Also Immune to enemy Toxic attacks.,709
Uber Super Rare,EVA Unit-13,"Strong vs Aku enemies, with rapid Area attacks that fire Mini-Surges. Immune to Surge Attack damage!",710
Legend Rare,Moonshade Kaworu,"Hero combining both powerful attacks and sturdy defense. Deals increased damage to Sages with long-range area attacks while taking less damage from them and their debuffs, also nullifying their resistance to debuffs! Deals Insane damage and may Knockback Traitless. Immune to Waves and Explosions. Can Conjure a Spirit with a 100% chance to Weaken and Slow enemies! *When a hero Unit has the Conjurer trait, only one of that Unit may be deployed to the battlefield at any given time.",815
Super Rare,Mari Illustrious,Frequent Area attacks with superior attack range. Extra strong versus Floating enemies.,411
Super Rare,Ritsuko Akagi,A well-balanced unit with superior attack power. Area attacks have a chance to weaken Aliens!,490
Super Rare,Rei Ayanami (???),"Superior defense and rapid Area attacks. Tough vs Black, might Weaken.",491
Rare,Rei Cat,Low-cost Unit with well-balanced abilities. Extra damage and excellent defense vs Angels.,406
Rare,Asuka Cat,Low-cost Unit with superior attack power. Extra damage and excellent defense vs Red.,407
Rare,Mari Cat,Low-cost Unit with superior attack range. Extra damage and excellent defense vs Floating.,408
Rare,Kaworu Cat,Low-cost unit with wide attack range. Massive damage and Tough defense vs Black enemies.,552
