rarity,name,description,cat_id
Uber Super Rare,Saber,Feared by the unjust for her relentless long distance strikes! Massive long-range area damage vs. Floating!,362
Uber Super Rare,Rin Tohsaka,"High-powered, high-frequency area strikes! Chance to knockback Aliens/Zombies!",363
Uber Super Rare,Illyasviel,Combines fearsome firepower with superior attack range. Area Attacks have a chance to Slow Red & Metal enemies!,364
Uber Super Rare,Archer,Excellent fighter with long-range area attack specialist! Immune to Wave Damage!,365
Uber Super Rare,Lancer,Superior warrior with rapid wide range attacks. Area Attacks have 100% chance to break Barriers!,366
Uber Super Rare,Rider,High attack rate with fast deploy recovery! 100% chance to freeze Angels with Area Attacks!,367
Uber Super Rare,Gilgamesh,"Can't attack close-up, but deals big damage to faraway foes. Gets more powerful after taking damage! (Long Distance)",368
Uber Super Rare,Sakura Matou,"Superior attack AND defense! Tough vs Dark/Aliens/Zombies. Immune to Waves, with Area Attacks prevents Zombies from reviving.",456
Uber Super Rare,Shirou Emiya,"Strikes with wide-range Area Attacks for Massive damage, with 100% Wave Attack! Immune to Freeze and Knockback effects!",864
Uber Super Rare,True Assassin,"Area Attack specialist with rapid, wide-range strikes that have a 100% chance to briefly Freeze/Weaken Floating and Alien enemies. Might also Dodge their attacks and Break Barriers!",865
Super Rare,Kotomine & Gilgamesh Cats,"Area Attack specialist with a wide range! Gets stronger when damaged, and might Weaken Dark enemies!",460
Rare,Sakura the Cat,Attacks frequently with a very small chance of Critical Hits!,370
Rare,Rin the Cat,Attacker with a wide range and a chance to Knockback Alien enemies!,371
Rare,Illya the Cat,Cost-effective hero whose attacks have a chance to Slow Red enemies!,372
Rare,Archer the Cat,Attacker with a wide range and Immunity to Wave damage!,458
Rare,Rider the Cat,A hero blessed with robust health pool and attacks that have a chance to Freeze Angels!,459
